katz_centrality,vertex
0.004622053,CP03-1576
0.004622053,CP19-1230
0.004622053,CP15-2366
0.00462205,CP98-2016
0.004622053,CP18-1807
0.0046220515,CP10-2251
0.00462205,CP10-2307
0.004622053,CP03-2330
0.004622053,TCP00-4519
0.00462205,CP15-4345
0.004622053,CP11-2476
0.0046220473,CP03-1050
0.0046220473,CP01-1778
0.00462205,CP16-4549
0.0046220515,CP12-1519
0.0046220473,CP13-2278
0.00462205,Ho97-0021
0.004622053,CP71-0441
0.004622053,CP09-2274
0.004622053,CP03-1341
0.0046220473,CP10-1918
0.004622053,CP00-1451
0.00462205,CP04-1053
0.004622053,CP19-4185
0.00462205,CP19-2373
0.004622053,CP14-1668
0.004622053,CP13-2387
0.00462205,CP96-1592
0.00462205,CP17-1496
0.004622053,CP14-2479
0.004622053,CP01-2035
0.004622053,Ho06-0556
0.004622053,CP97-2506
0.00462205,CP92-1760
0.00462205,CP11-2352
0.004622053,CP12-2296
0.00462205,CP92-1687
0.004622053,CP62-0350
0.004622053,CP16-2088
0.00462205,HoCP93-0741
0.004622053,CP04-1868
0.00462205,CP95-1142
0.0046220473,CP17-4387
0.0046220473,CP00-2039
0.004622053,Ho14-9258
0.00462205,CP98-1797
0.004622053,CP16-1983
0.004622053,CP04-1147
0.00462205,CP04-1543
0.004622053,HoCP17-0705
0.004622053,CP13-1379
0.004622053,CP17-1684
0.004622053,HoCP19-0935
0.00462205,CP19-1205
0.00462205,CP17-4470
0.0046220473,CP06-2420
0.0046220473,CP04-1113
0.004622053,CP18-1053
0.00462205,CP14-2472
0.004622053,CP95-1518
0.004622053,L98-0205
0.00462205,CP19-2483
0.00462205,CP06-3040
0.004622053,LCP86-0428
0.0046220473,CP10-2479
0.004622053,CP03-1267
0.0046220473,CP92-1152
0.00462205,CP94-1154
0.004622053,CP05-1702
0.00462205,CP12-1474
0.00462205,CP10-2490
0.004622053,CP13-1996
0.004622053,L74-0027
0.004622053,CP17-1952
0.00462205,Ho09-9135
0.0046220473,CP99-1493
0.004622053,Ho94-0864
0.004622053,CP14-1608
0.004622053,CP89-0832
0.004622053,HoCP13-0738
0.00462205,CP16-1699
0.00462205,CP17-4806
0.004622053,CP99-1308
0.004622053,CP03-1804
0.004622053,CP91-0500
0.004622053,HoCP02-0647
0.00462205,CP02-1325
0.004622053,CP04-1214
0.004622053,CP00-1548
0.00462205,CP03-2086
0.0046220473,CP95-1702
0.004622053,CP11-2463
0.004622053,HoCP94-0804
0.00462205,CP93-1177
