labels,vertex
9188,CP92-1224
9189,Ho12-0630
9190,CP15-2258
9191,CP03-1700
9192,HoCP96-0544
9193,CPCL06-3154
9194,CPCL06-3355
9195,CP98-1427
9196,HoCP11-0548
9197,CP14-2000
9198,CP02-1689
9199,CP99-1253
4736,CP09-1661
4737,CP16-4303
4738,CP99-1349
4739,CP04-1905
4740,CP01-2457
4741,CP00-1160
4742,CP13-2097
4743,CP12-1588
4744,CP13-2285
4745,CP11-1350
4746,CP16-4491
4747,CP02-1449
4748,CP11-2393
4749,CP99-1516
4750,CP07-2632
4751,CP16-1340
9872,Ho05-9023
9873,CP00-2189
9874,Ho11-9330
9875,CP98-1706
9876,CP05-1503
9877,CP98-2071
9878,CP14-1925
9879,CP93-1012
9880,CP09-2125
9881,CP99-1206
9882,CP14-1619
9883,Ho82-0015
9884,CP01-1280
9885,Ho77-0014
9886,CP97-1534
9887,CP13-1631
20224,CP16-1844
20225,LCP82-0034
20226,CP11-1716
20227,CP18-1768
20228,CL02-8040
20229,CP15-1980
20230,CP88-2045
20231,CP92-1423
20232,CP01-2126
20233,CP00-2030
20234,CP03-1664
20235,CP18-1441
20236,HoCP22-721
20237,CP03-1045
20238,CP94-1558
20239,90P05
16816,CP03-1283
16817,CPCL06-3309
16818,L06-0033
16819,CP14-1831
16820,CP01-2065
16821,CP07-2419
16822,CP14-1080
16823,CP04-1302
16824,CP95-1416
16825,CP96-1923
16826,CP16-4579
16827,CP99-1194
16828,CP12-1724
16829,CP15-4589
16830,Ho87-0003
16831,CP10-2421
4752,CP17-1205
4753,CP11-1071
4754,HPoly1944-0045
4755,CP01-2446
4756,CP71-0486
4757,L89-0135
4758,CP04-2006
4759,CP18-1939
4760,CP00-2156
4761,CP00-1301
4762,LCP86-0438
4763,CP93-1532
4764,CP11-1999
4765,CP99-1195
4766,US56-5-2
4767,L88-0086
8496,CP17-1160
8497,CP11-1379
8498,CP19-1511
8499,CP19-2068
8500,CP06-2587
8501,CPCL06-3193
8502,CP91-1364
8503,CP18-1132
8504,CP98-1509
8505,CP13-1262
8506,CP11-1313
8507,CP13-1517
8508,CP96-1424
8509,CP91-0552
8510,CP92-1234
8511,CP17-4158
4640,CP01-1299
4641,CP02-1107
4642,CP02-1046
