,partition,vertex
510,0,HoCP20-0541
511,11,CP14-1392
512,18,CP17-1794
513,6,CP07-1067
514,6,CP14-1129
515,19,CP17-2263
516,7,CP14-1315
517,17,CP00-1092
518,8,CP19-1106
519,9,CPCL05-1019
520,2,CP04-1284
521,13,CP12-1437
522,0,HoL14-0849
523,19,CP17-2397
524,17,CP97-1911
525,0,L17-0425
526,2,CP00-1802
527,6,CP12-2068
528,0,SES147B
529,0,HoCP90-0977
530,9,CP06-1730
531,7,CP08-1139
532,20,HoCP05-0957
533,8,POLY13-010
534,0,Ho07-0617
535,0,HoL08-0723
536,19,CP05-1364
537,17,CP90-1676
538,15,CP86-2047
539,3,US66-47-2
540,3,CP66-0376
541,0,L06-0038
542,0,CP03-2390
543,3,CP60-0016
544,39,Ho01-0044
545,3,CP86-0974
546,3,Ho73-0047
547,31,HB99-0056
548,0,Ho12-9023
549,1,CP82-1692
550,0,Ho06-0565
551,3,F31-0436
552,0,L05-0445
553,3,CP90-0923
554,41,03P10
555,3,CP34-0079
556,0,L96-0040
557,2,CPCL99-4295
558,3,CP89-0816
559,0,MPTH97-0200
560,1,CP99-1906
561,7,CP16-4092
562,28,CP14-1452
563,5,CP94-1926
564,0,CP09-1107
565,18,CP14-4434
566,35,CP94-1036
567,19,CP19-1299
568,12,CP06-2245
569,8,CP14-2220
570,17,CP91-1032
571,3,L94-0440
572,6,CP19-2435
573,7,CP19-1499
574,2,CP97-1395
575,0,HoCP98-0702
576,6,CP10-1421
577,12,CP11-1970
578,3,L75-0011
579,3,L74-0049
580,2,CP02-1733
581,8,CP04-1613
582,39,Ho20-9012
583,0,HoCP05-0908
584,20,CP10-1560
585,2,CP02-2170
586,7,CP16-1123
587,5,CP01-1291
588,8,CP14-1719
589,3,HoCP95-0960
590,2,CPCL05-1173
591,18,CP16-2473
592,18,CP15-4652
593,6,CP12-1488
594,11,CP01-1086
595,3,CP84-0754
596,4,CP04-1356
597,8,CP15-4343
598,2,CP01-1174
599,7,CP15-4459
600,0,CP96-1826
601,17,CP99-1995
602,6,CP13-2164
603,2,CP15-2409
604,27,CP96-1596
605,5,CP01-1727
606,6,CP12-2386
607,18,CP17-4765
608,5,CP97-2061
609,12,CP11-1505
610,2,CP03-1998
611,0,Ho14-0864
612,18,CP15-1472
613,5,CP00-1758
614,21,CP01-1004
615,0,Ho09-0815
616,25,CP12-1384
617,13,CP19-4908
618,0,Ho15-0937
619,1,CP98-1468
620,8,CP19-1648
621,11,CP19-1215
622,1,CP97-1290
623,9,CP13-1897
624,7,CP14-2003
625,28,CP14-1732
626,0,HoCP19-0915
627,2,CPCL02-2925
628,30,CP00-1928
629,16,CP11-1533
630,1,CP97-1339
631,8,CP16-4105
632,7,CP13-1661
633,20,CP12-1826
634,0,L12-0217
635,5,CP14-2100
636,5,CP00-1915
637,2,CP06-2447
638,13,CPCL14-4139
639,22,CP07-1926
640,0,HoCP15-0548
641,1,CP97-1566
642,3,L89-0124
643,0,Ho03-0111
644,5,CP95-1405
645,5,CP95-1767
