pagerank,vertex
1.9621122e-05,CP14-2233
1.9994459e-05,CP09-1602
1.9864074e-05,CP19-1486
1.966535e-05,CP12-1771
1.9972842e-05,CP10-1048
1.9937994e-05,L71-0024
1.9765745e-05,CP09-1523
1.9661817e-05,CP99-1782
2.0514915e-05,CP13-1470
1.9793655e-05,CP11-1456
1.9944504e-05,CP98-1115
2.017853e-05,CP94-2062
1.9736854e-05,CP19-4319
2.0018824e-05,CP96-1572
1.9643332e-05,CP15-4170
2.1677157e-05,CP19-2391
1.963134e-05,CP03-1245
2.5892146e-05,HoCP11-0516
1.9803527e-05,CP17-4372
2.0856702e-05,CP03-1446
2.2004308e-05,CP14-2006
2.0018708e-05,CP17-4510
2.124161e-05,L64-0030
1.96574e-05,CP98-1524
2.022229e-05,CP99-1415
1.982545e-05,CP00-1955
2.0024478e-05,CP92-1260
2.0047824e-05,CP12-1588
2.0187897e-05,CP13-2285
2.131563e-05,CP11-1350
2.1137514e-05,CP16-4491
1.9747744e-05,CP02-1449
1.9661678e-05,CP11-2393
1.9744732e-05,CP99-1516
3.0425506e-05,CP07-2632
1.9682144e-05,CP16-1340
1.9682222e-05,CP17-1205
1.969004e-05,CP11-1071
1.9642612e-05,CP01-2446
5.2926727e-05,CP71-0486
2.0855745e-05,L89-0135
2.025399e-05,CP04-2006
2.0086178e-05,CP18-1939
2.1325215e-05,Ho99-0049
1.9673236e-05,CP16-4868
1.98798e-05,CP15-4600
2.0284308e-05,CP17-1478
1.9718615e-05,CP02-1374
2.0208008e-05,CP01-2223
1.964869e-05,CP06-2719
1.9867442e-05,CP16-2339
1.9628254e-05,CP11-1100
1.9820875e-05,CP16-4809
2.021854e-05,CP04-1455
1.9642612e-05,CP00-1130
1.982839e-05,HoCP97-0612
1.9929596e-05,CP97-1719
2.2560513e-05,CPCL02-0706
1.9813895e-05,CP09-1964
1.9994155e-05,CP02-2215
1.9787121e-05,LCP85-0363
2.0784633e-05,CP16-1031
1.9711606e-05,CP09-1096
2.1068652e-05,CP96-1514
2.0049154e-05,L93-0401
1.9654657e-05,CP95-1057
1.9681895e-05,CP17-4439
1.9739055e-05,HoCP03-0748
1.9663445e-05,CP03-2017
1.9792067e-05,CP10-1442
2.0083267e-05,CP95-1600
1.976035e-05,CP00-1022
1.9861822e-05,CP16-2441
1.9647088e-05,CP16-1003
1.9663372e-05,CP01-1296
1.9679639e-05,CP02-1109
1.9687495e-05,CP99-1819
1.9707637e-05,CP95-1168
2.0262976e-05,CP94-1933
1.9903364e-05,CP94-1358
2.2371543e-05,Ho16-0609
2.0195499e-05,CP15-2204
2.0361407e-05,CP10-2186
2.0011305e-05,CP91-1454
2.3402987e-05,Ho14-9270
2.1984513e-05,L13-0249
1.9708792e-05,CP01-1533
1.982488e-05,CP78-0335
2.1983178e-05,CP13-1999
2.5304707e-05,L14-0284
5.1584637e-05,Ho17-9112
2.0176554e-05,CP18-2100
1.9903684e-05,CP99-1039
2.2470733e-05,LCP81-0009
2.0791475e-05,CP76-0354
2.2780387e-05,HoCP18-0863
1.9877485e-05,CP19-4020
2.0223439e-05,CP95-1292
1.9817386e-05,CP98-1555
1.9948522e-05,CP97-1196
7.063908e-05,Ho93-0012
2.14948e-05,CP11-1596
2.1713542e-05,CP91-1652
2.047342e-05,CP06-2697
1.9645347e-05,CPCL06-3348
2.1843389e-05,CP15-1731
1.9729927e-05,CP00-1357
1.974174e-05,CP12-1454
1.9740804e-05,CP10-1231
2.0597578e-05,L15-0323
2.001241e-05,CP97-1964
2.0305408e-05,CP92-1418
1.9804336e-05,CP95-1429
2.0200798e-05,CPCL06-3281
1.9659525e-05,CP01-2472
2.0208621e-05,CP16-1900
3.666523e-05,L73-0032
1.9667179e-05,CP01-1322
1.965205e-05,CP00-1713
1.9791709e-05,CP09-1989
1.9663765e-05,CP14-2093
1.9662039e-05,CP14-1279
2.4403887e-05,CP09-2405
1.9646961e-05,CP14-2167
2.5355173e-05,CP13-2427
1.962599e-05,CP14-1145
2.0112711e-05,CP12-1930
1.96585e-05,CP15-1754
1.9647243e-05,CP03-1911
1.9685245e-05,CPCL01-7314
1.9877485e-05,CP13-1901
2.0516582e-05,CP94-1286
2.0309068e-05,CP02-2133
1.9811047e-05,CP17-2444
1.9747587e-05,CP15-1653
2.3070561e-05,HoCP16-0670
2.0637852e-05,CP99-1641
1.9704972e-05,HoCP98-0734
1.9842095e-05,CP06-2945
1.9932695e-05,CP16-1067
2.1813921e-05,CP87-0617
1.972885e-05,CP11-1496
1.9629082e-05,CP19-1161
1.9727042e-05,CP03-2375
2.2861177e-05,CP13-1928
1.9696943e-05,CP15-4120
1.9684116e-05,CP15-2021
2.3778883e-05,CP07-1358
1.979246e-05,CP94-1425
